Date,Open,High,Low,Close,Volume
9/5/2024,72.62,72.68,70.98,71.17,"23,866,131"
9/4/2024,73.30,73.53,71.91,72.56,"18,140,830"
9/3/2024,72.44,73.29,72.25,73.01,"14,752,500"
8/30/2024,72.20,72.57,71.78,72.47,"18,624,230"
8/29/2024,71.90,72.22,71.23,72.05,"17,201,680"
8/28/2024,71.61,71.81,71.30,71.75,"13,272,580"
8/27/2024,71.32,71.53,71.05,71.50,"16,988,410"
8/26/2024,69.83,70.92,69.73,70.84,"12,912,250"
8/23/2024,69.40,69.85,68.94,69.79,"11,834,750"
8/22/2024,69.92,69.92,68.79,69.33,"12,509,200"
8/21/2024,69.48,70.13,69.34,69.57,"8,792,397"
8/20/2024,68.99,69.39,68.77,69.38,"11,957,370"
8/19/2024,69.35,69.42,68.85,68.98,"9,843,861"
8/16/2024,68.84,69.30,68.64,69.18,"12,651,230"
8/15/2024,68.62,68.92,68.50,68.65,"11,285,120"
8/14/2024,68.23,68.89,68.13,68.58,"14,328,030"
8/13/2024,68.08,68.61,68.01,68.46,"9,877,569"
8/12/2024,68.45,68.54,67.83,68.17,"11,012,320"
8/9/2024,68.70,68.79,68.25,68.68,"12,080,420"
8/8/2024,68.00,68.87,67.85,68.73,"15,240,910"
8/7/2024,68.05,69.18,67.83,68.46,"13,365,270"
8/6/2024,68.15,68.84,67.77,68.05,"12,969,100"
8/5/2024,68.99,69.55,67.73,68.10,"25,484,270"
8/2/2024,68.53,69.67,67.69,69.33,"22,514,779"
8/1/2024,67.00,68.11,66.70,67.96,"16,495,910"
7/31/2024,67.50,67.61,66.61,66.74,"15,576,850"
7/30/2024,66.48,67.83,66.36,67.68,"13,257,960"
7/29/2024,66.88,67.03,66.39,66.83,"12,140,150"
7/26/2024,66.07,67.11,66.01,67.05,"13,530,070"
7/25/2024,66.04,66.89,65.86,66.07,"16,328,580"
7/24/2024,65.09,65.97,64.84,65.81,"13,244,570"
7/23/2024,65.43,66.04,64.85,64.96,"11,810,260"
7/22/2024,65.25,65.29,64.32,64.77,"11,794,210"
7/19/2024,65.64,65.64,64.82,65.29,"13,775,670"
7/18/2024,64.80,65.81,64.72,65.19,"11,128,200"
7/17/2024,64.47,65.39,64.41,65.21,"12,508,220"
7/16/2024,63.43,64.31,63.39,64.27,"9,025,066"
7/15/2024,63.79,63.94,63.35,63.41,"8,207,521"
7/12/2024,63.46,64.12,63.39,63.70,"9,201,516"
7/11/2024,62.64,63.46,62.40,63.10,"11,434,420"
7/10/2024,62.72,62.86,62.29,62.83,"11,930,410"
7/9/2024,63.06,63.23,62.59,62.69,"11,660,200"
7/8/2024,63.59,63.59,62.84,62.96,"11,235,140"
7/5/2024,63.33,63.79,63.00,63.76,"11,735,460"
7/3/2024,63.19,63.67,62.93,63.33,"9,154,198"
7/2/2024,63.26,63.38,62.86,63.15,"8,878,156"
7/1/2024,64.03,64.30,63.12,63.28,"10,033,360"
6/28/2024,63.90,64.06,63.52,63.65,"17,358,830"
6/27/2024,64.05,64.27,63.62,63.91,"8,494,123"
6/26/2024,63.40,64.11,63.23,64.05,"9,402,502"
6/25/2024,63.94,64.07,63.51,63.84,"10,546,790"
6/24/2024,62.99,64.06,62.91,63.97,"13,212,450"
6/21/2024,62.18,63.10,62.18,62.77,"28,282,189"
6/20/2024,62.40,62.74,61.95,62.18,"13,306,270"
6/18/2024,62.53,62.82,62.44,62.63,"10,651,660"
6/17/2024,62.37,62.90,62.18,62.62,"10,532,720"
